time[zone="UTC"],latitude[unit="degrees_north"],longitude[unit="degrees_east"],id[unit=""],pwl[unit="meters"]
2018-06-19T16:38:00Z,21.957,-159.36,nawi,0.209
2018-06-19T16:39:00Z,21.957,-159.36,nawi,0.208
2018-06-19T16:40:00Z,21.957,-159.36,nawi,0.21
2018-06-19T16:41:00Z,21.957,-159.36,nawi,0.211
2018-06-19T16:42:00Z,21.957,-159.36,nawi,0.204
2018-06-19T16:43:00Z,21.957,-159.36,nawi,0.208
2018-06-19T16:44:00Z,21.957,-159.36,nawi,0.217
2018-06-19T16:45:00Z,21.957,-159.36,nawi,0.222
2018-06-19T16:46:00Z,21.957,-159.36,nawi,0.227
2018-06-19T16:47:00Z,21.957,-159.36,nawi,0.223
2018-06-19T16:48:00Z,21.957,-159.36,nawi,0.22
2018-06-19T16:49:00Z,21.957,-159.36,nawi,0.22
2018-06-19T16:50:00Z,21.957,-159.36,nawi,0.219
2018-06-19T16:51:00Z,21.957,-159.36,nawi,0.223
2018-06-19T16:52:00Z,21.957,-159.36,nawi,0.228
2018-06-19T16:53:00Z,21.957,-159.36,nawi,0.23
2018-06-19T16:54:00Z,21.957,-159.36,nawi,0.236
2018-06-19T16:55:00Z,21.957,-159.36,nawi,0.233
2018-06-19T16:56:00Z,21.957,-159.36,nawi,0.228
2018-06-19T16:57:00Z,21.957,-159.36,nawi,0.232
2018-06-19T16:58:00Z,21.957,-159.36,nawi,0.23
2018-06-19T16:59:00Z,21.957,-159.36,nawi,0.229
2018-06-19T17:00:00Z,21.957,-159.36,nawi,0.237
2018-06-19T17:01:00Z,21.957,-159.36,nawi,0.236
2018-06-19T17:02:00Z,21.957,-159.36,nawi,0.242
2018-06-19T17:03:00Z,21.957,-159.36,nawi,0.248
2018-06-19T17:04:00Z,21.957,-159.36,nawi,0.25
2018-06-19T17:05:00Z,21.957,-159.36,nawi,0.251
2018-06-19T17:06:00Z,21.957,-159.36,nawi,0.252
2018-06-19T17:07:00Z,21.957,-159.36,nawi,0.251
2018-06-19T17:08:00Z,21.957,-159.36,nawi,0.254
2018-06-19T17:09:00Z,21.957,-159.36,nawi,0.254
2018-06-19T17:10:00Z,21.957,-159.36,nawi,0.245
2018-06-19T17:11:00Z,21.957,-159.36,nawi,0.25
2018-06-19T17:12:00Z,21.957,-159.36,nawi,0.244
2018-06-19T17:13:00Z,21.957,-159.36,nawi,0.242
2018-06-19T17:14:00Z,21.957,-159.36,nawi,0.26
2018-06-19T17:15:00Z,21.957,-159.36,nawi,0.262
2018-06-19T17:16:00Z,21.957,-159.36,nawi,0.261
2018-06-19T17:17:00Z,21.957,-159.36,nawi,0.268
2018-06-19T17:18:00Z,21.957,-159.36,nawi,0.266
2018-06-19T17:19:00Z,21.957,-159.36,nawi,0.262
2018-06-19T17:20:00Z,21.957,-159.36,nawi,0.277
2018-06-19T17:21:00Z,21.957,-159.36,nawi,0.278
2018-06-19T17:22:00Z,21.957,-159.36,nawi,0.273
2018-06-19T17:23:00Z,21.957,-159.36,nawi,0.277
2018-06-19T17:24:00Z,21.957,-159.36,nawi,0.274
2018-06-19T17:25:00Z,21.957,-159.36,nawi,0.266
2018-06-19T17:26:00Z,21.957,-159.36,nawi,0.275
2018-06-19T17:27:00Z,21.957,-159.36,nawi,0.274
2018-06-19T17:28:00Z,21.957,-159.36,nawi,0.274
2018-06-19T17:29:00Z,21.957,-159.36,nawi,0.272
2018-06-19T17:30:00Z,21.957,-159.36,nawi,0.279
2018-06-19T17:31:00Z,21.957,-159.36,nawi,0.28
2018-06-19T17:32:00Z,21.957,-159.36,nawi,0.277
2018-06-19T17:33:00Z,21.957,-159.36,nawi,0.284
2018-06-19T17:34:00Z,21.957,-159.36,nawi,0.292
2018-06-19T17:35:00Z,21.957,-159.36,nawi,0.282
2018-06-19T17:36:00Z,21.957,-159.36,nawi,0.285
2018-06-19T17:37:00Z,21.957,-159.36,nawi,0.288
2018-06-19T17:38:00Z,21.957,-159.36,nawi,0.278
2018-06-19T17:39:00Z,21.957,-159.36,nawi,0.286
2018-06-19T17:40:00Z,21.957,-159.36,nawi,0.296
2018-06-19T17:41:00Z,21.957,-159.36,nawi,0.291
2018-06-19T17:42:00Z,21.957,-159.36,nawi,0.299
2018-06-19T17:43:00Z,21.957,-159.36,nawi,0.316
2018-06-19T17:44:00Z,21.957,-159.36,nawi,0.303
2018-06-19T17:45:00Z,21.957,-159.36,nawi,0.304
2018-06-19T17:46:00Z,21.957,-159.36,nawi,0.306
2018-06-19T17:47:00Z,21.957,-159.36,nawi,0.289
2018-06-19T17:48:00Z,21.957,-159.36,nawi,0.292
2018-06-19T17:49:00Z,21.957,-159.36,nawi,0.302
2018-06-19T17:50:00Z,21.957,-159.36,nawi,0.299
2018-06-19T17:51:00Z,21.957,-159.36,nawi,0.303
2018-06-19T17:52:00Z,21.957,-159.36,nawi,0.307
2018-06-19T17:53:00Z,21.957,-159.36,nawi,0.3
2018-06-19T17:54:00Z,21.957,-159.36,nawi,0.295
2018-06-19T17:55:00Z,21.957,-159.36,nawi,0.298
2018-06-19T17:56:00Z,21.957,-159.36,nawi,0.297
2018-06-19T17:57:00Z,21.957,-159.36,nawi,0.295
2018-06-19T17:58:00Z,21.957,-159.36,nawi,0.301
2018-06-19T17:59:00Z,21.957,-159.36,nawi,0.312
2018-06-19T18:00:00Z,21.957,-159.36,nawi,0.316
2018-06-19T18:01:00Z,21.957,-159.36,nawi,0.322
2018-06-19T18:02:00Z,21.957,-159.36,nawi,0.329
2018-06-19T18:03:00Z,21.957,-159.36,nawi,0.326
2018-06-19T18:04:00Z,21.957,-159.36,nawi,0.317
2018-06-19T18:05:00Z,21.957,-159.36,nawi,0.317
2018-06-19T18:06:00Z,21.957,-159.36,nawi,0.31
2018-06-19T18:07:00Z,21.957,-159.36,nawi,0.306
2018-06-19T18:08:00Z,21.957,-159.36,nawi,0.307
2018-06-19T18:09:00Z,21.957,-159.36,nawi,0.302
2018-06-19T18:10:00Z,21.957,-159.36,nawi,0.302
2018-06-19T18:11:00Z,21.957,-159.36,nawi,0.304
2018-06-19T18:12:00Z,21.957,-159.36,nawi,0.308
2018-06-19T18:13:00Z,21.957,-159.36,nawi,0.307
2018-06-19T18:14:00Z,21.957,-159.36,nawi,0.312
2018-06-19T18:15:00Z,21.957,-159.36,nawi,0.314
2018-06-19T18:16:00Z,21.957,-159.36,nawi,0.32
2018-06-19T18:17:00Z,21.957,-159.36,nawi,0.323
2018-06-19T18:18:00Z,21.957,-159.36,nawi,0.327
2018-06-19T18:19:00Z,21.957,-159.36,nawi,0.333
2018-06-19T18:20:00Z,21.957,-159.36,nawi,0.329
2018-06-19T18:21:00Z,21.957,-159.36,nawi,0.324
2018-06-19T18:22:00Z,21.957,-159.36,nawi,0.319
2018-06-19T18:23:00Z,21.957,-159.36,nawi,0.312
2018-06-19T18:24:00Z,21.957,-159.36,nawi,0.308
2018-06-19T18:25:00Z,21.957,-159.36,nawi,0.314
2018-06-19T18:26:00Z,21.957,-159.36,nawi,0.316
2018-06-19T18:27:00Z,21.957,-159.36,nawi,0.318
2018-06-19T18:28:00Z,21.957,-159.36,nawi,0.324
2018-06-19T18:29:00Z,21.957,-159.36,nawi,0.325
2018-06-19T18:30:00Z,21.957,-159.36,nawi,0.314
2018-06-19T18:31:00Z,21.957,-159.36,nawi,0.322
2018-06-19T18:32:00Z,21.957,-159.36,nawi,0.322
2018-06-19T18:33:00Z,21.957,-159.36,nawi,0.323
2018-06-19T18:34:00Z,21.957,-159.36,nawi,0.328
2018-06-19T18:35:00Z,21.957,-159.36,nawi,0.332
2018-06-19T18:36:00Z,21.957,-159.36,nawi,0.326
2018-06-19T18:37:00Z,21.957,-159.36,nawi,0.328
2018-06-19T18:38:00Z,21.957,-159.36,nawi,0.321
2018-06-19T18:39:00Z,21.957,-159.36,nawi,0.318
2018-06-19T18:40:00Z,21.957,-159.36,nawi,0.32
2018-06-19T18:41:00Z,21.957,-159.36,nawi,0.324
2018-06-19T18:42:00Z,21.957,-159.36,nawi,0.327
2018-06-19T18:43:00Z,21.957,-159.36,nawi,0.327
2018-06-19T18:44:00Z,21.957,-159.36,nawi,0.33
2018-06-19T18:45:00Z,21.957,-159.36,nawi,0.33
2018-06-19T18:46:00Z,21.957,-159.36,nawi,0.327
2018-06-19T18:47:00Z,21.957,-159.36,nawi,0.324
2018-06-19T18:48:00Z,21.957,-159.36,nawi,0.324
2018-06-19T18:49:00Z,21.957,-159.36,nawi,0.322
2018-06-19T18:50:00Z,21.957,-159.36,nawi,0.321
2018-06-19T18:51:00Z,21.957,-159.36,nawi,0.322
2018-06-19T18:52:00Z,21.957,-159.36,nawi,0.326
2018-06-19T18:53:00Z,21.957,-159.36,nawi,0.329
2018-06-19T18:54:00Z,21.957,-159.36,nawi,0.331
2018-06-19T18:55:00Z,21.957,-159.36,nawi,0.329
2018-06-19T18:56:00Z,21.957,-159.36,nawi,0.327
2018-06-19T18:57:00Z,21.957,-159.36,nawi,0.32
2018-06-19T18:58:00Z,21.957,-159.36,nawi,0.315
2018-06-19T18:59:00Z,21.957,-159.36,nawi,0.319
2018-06-19T19:00:00Z,21.957,-159.36,nawi,0.321
2018-06-19T19:01:00Z,21.957,-159.36,nawi,0.325
2018-06-19T19:02:00Z,21.957,-159.36,nawi,0.334
2018-06-19T19:03:00Z,21.957,-159.36,nawi,0.334
2018-06-19T19:04:00Z,21.957,-159.36,nawi,0.333
2018-06-19T19:05:00Z,21.957,-159.36,nawi,0.331
2018-06-19T19:06:00Z,21.957,-159.36,nawi,0.324
2018-06-19T19:07:00Z,21.957,-159.36,nawi,0.319
2018-06-19T19:08:00Z,21.957,-159.36,nawi,0.32
2018-06-19T19:09:00Z,21.957,-159.36,nawi,0.323
2018-06-19T19:10:00Z,21.957,-159.36,nawi,0.32
2018-06-19T19:11:00Z,21.957,-159.36,nawi,0.329
